"CountryCode","sim_CHN","sim_USA","infras_frequency","invest_frequency"
"TCD",0.466118830585933,0.260998327628819,0,0
"TGO",0.458991482619886,0.303772522836704,0,1
"THA",0.492463693936452,0.432508761698736,0,0
"TJK",0.436006205419878,0.20352009281474,2,2
"TKM",0.478124512416012,0.279413254102723,4,0
"TMP",0.530335708719413,0.495706238510801,0,0
"TON",0.371892509721448,0.260439512426034,0,0
"TTO",0.416450844586319,0.292905295862542,0,1
"TUN",0.420783388431551,0.405746109292331,0,0
"TUR",0.445244413964571,0.520080512544939,0,0
"TUV",0.441365046006171,0.362640332075394,0,0
"TZA",0.450039693108501,0.41308115506096,0,1
"UGA",0.209214635410558,0.208886592194993,0,1
"UKR",0.33783027892437,0.30759857078732,0,0
"URY",0.34461628769572,0.399897699578502,0,1
"USA",0.470202679017315,1,0,4
"UZB",0.397947236885952,0.260892202938225,2,1
"VAT",0.474041514445279,0.386237711748532,0,0
"VCT",0.447623920402609,0.403914655880738,1,1
"VEN",0.47858698759458,0.564975820896062,0,0
"VNM",0.587213941665933,0.31993198026572,0,0
"VUT",0.569764901379948,0.403300307981225,0,0
"WSM",0.498750306018022,0.407344736678622,0,0
"YEM",0.458455596434695,0.331265179254095,1,0
"YUG",0.467808759536802,0.371730044055935,0,1
"ZAF",0.491944099874227,0.392249591336483,2,0
"ZMB",0.380979726135106,0.262562246813364,0,1
"ZWE",0.455956900620511,0.259410990440886,2,0
